county,year,quarter,taxable_sales,taxable_purchases,total
Emmons,2023,4,5234697,33159,5267856
Emmons,2024,1,3752946,19485,3772431
Emmons,2024,2,4898444,33333,4931777
Emmons,2024,3,5721840,20401,5742241
Emmons,2024,4,5431361,48650,5480011
Emmons,2025,1,3030595,33332,3063927
Emmons,2025,2,4883054,67065,4950119
Emmons,2025,3,6341919,16666,6358585
Emmons,2025,4,5548872,28152,5577024
Emmons,2026,1,3036565,34510,3071075
Emmons,2026,2,5102745,41101,5143846
Foster,2019,1,8777698,517033,9294731
Foster,2019,2,12539102,552150,13091252
Foster,2019,3,13739983,439287,14179270
Foster,2019,4,13981155,655301,14636456
Foster,2020,1,9944089,354597,10298686
Foster,2020,2,12309738,591240,12900978
Foster,2020,3,14658889,359449,15018338
Foster,2020,4,13549934,400934,13950868
Foster,2021,1,10624821,316458,10941279
Foster,2021,2,13743963,268743,14012706
Foster,2021,3,14882409,298152,15180561
Foster,2021,4,15181249,402242,15583491
Foster,2022,1,8436717,535462,8972179
Foster,2022,2,15976241,424924,16401165
Foster,2022,3,21074666,606760,21681426
Foster,2022,4,19395339,341992,19737331
Foster,2023,1,11899796,473745,12373541
Foster,2023,2,18720331,691209,19411540
Foster,2023,3,24572784,610163,25182947
Foster,2023,4,21748968,472566,22221534
Foster,2024,1,11313971,540453,11854424
Foster,2024,2,19434254,638789,20073043
Foster,2024,3,24255383,897954,25153337
Foster,2024,4,19495795,1434672,20930467
Foster,2025,1,10160640,1046410,11207050
Foster,2025,2,15829744,835036,16664780
Foster,2025,3,22911693,1221901,24133594
Foster,2025,4,17782845,882917,18665762
Foster,2026,1,11753444,539817,12293261
Foster,2026,2,17747839,815523,18563362
Golden Valley,2019,1,2243384,29489,2272873
Golden Valley,2019,2,3611819,60931,3672750
Golden Valley,2019,3,3493885,44411,3538296
Golden Valley,2019,4,2498810,58249,2557059
Golden Valley,2020,1,1868091,31842,1899933
Golden Valley,2020,2,3430929,69254,3500183
Golden Valley,2020,3,4150640,682880,4833520
Golden Valley,2020,4,4753203,36356,4789559
Golden Valley,2021,1,2744792,74385,2819177
Golden Valley,2021,2,2717747,403161,3120908
Golden Valley,2021,3,3848055,160590,4008645
Golden Valley,2021,4,3664788,310061,3974849
Golden Valley,2022,1,2311927,257760,2569687
Golden Valley,2022,2,3847718,370612,4218330
Golden Valley,2022,3,4082083,313883,4395966
Golden Valley,2022,4,4744718,268519,5013237
Golden Valley,2023,1,3046985,449287,3496272
Golden Valley,2023,2,5195780,268764,5464544
Golden Valley,2023,3,6126605,504477,6631082
Golden Valley,2023,4,7437046,808199,8245245
Golden Valley,2024,1,4169861,359107,4528968
Golden Valley,2024,2,6268174,535355,6803529
Golden Valley,2024,3,6068591,596036,6664627
Golden Valley,2024,4,6240858,694857,6935715
Golden Valley,2025,1,3643895,381802,4025697
Golden Valley,2025,2,4851743,685151,5536894
Golden Valley,2025,3,6152813,419062,6571875
Golden Valley,2025,4,5579441,241587,5821028
Golden Valley,2026,1,2628239,460761,3089000
Golden Valley,2026,2,3518309,65288,3583597
Grand Forks,2019,1,205284063,10340805,215624868
Grand Forks,2019,2,259432263,14960317,274392580
Grand Forks,2019,3,266662561,14946806,281609367
Grand Forks,2019,4,261937240,14282638,276219878
Grand Forks,2020,1,201659282,8959710,210618992
Grand Forks,2020,2,229592661,10878866,240471527
Grand Forks,2020,3,256753069,13489891,270242960
Grand Forks,2020,4,248639647,14900822,263540469
Grand Forks,2021,1,223160872,10673079,233833951
Grand Forks,2021,2,280415862,16228322,296644184
Grand Forks,2021,3,260723710,16086721,276810431
Grand Forks,2021,4,264655708,20862459,285518167
Grand Forks,2022,1,216228371,13885233,230113604
Grand Forks,2022,2,277249675,21901960,299151635
Grand Forks,2022,3,298959357,18106860,317066217
Grand Forks,2022,4,282997894,18934813,301932707
Grand Forks,2023,1,236458331,11397236,247855567
Grand Forks,2023,2,295852601,15887783,311740384
Grand Forks,2023,3,304418595,19304905,323723500
Grand Forks,2023,4,304873300,17287605,322160905
Grand Forks,2024,1,249073725,12717802,261791527
Grand Forks,2024,2,313145599,16611970,329757569
Grand Forks,2024,3,305504295,15994791,321499086
Grand Forks,2024,4,300602720,19990353,320593073
Grand Forks,2025,1,237170307,10895095,248065402
Grand Forks,2025,2,297664452,14079700,311744152
Grand Forks,2025,3,294209659,19291719,313501378
Grand Forks,2025,4,315750671,20809243,336559914
Grand Forks,2026,1,245903310,17766644,263669954
Grand Forks,2026,2,301616105,14729012,316345117
Grant,2019,1,1877737,16317,1894054
Grant,2019,2,2353055,12381,2365436
Grant,2019,3,3180126,34578,3214704
Grant,2019,4,3988890,44213,4033103
Grant,2020,1,2174054,15611,2189665
Grant,2020,2,2990339,27784,3018123
Grant,2020,3,3130864,28576,3159440
Grant,2020,4,3252656,41716,3294372
Grant,2021,1,2571073,23328,2594401
Grant,2021,2,3146609,16563,3163172
Grant,2021,3,2847889,10814,2858703
Grant,2021,4,3995044,30911,4025955
Grant,2022,1,1964993,8596,1973589
Grant,2022,2,4412432,13664,4426096
Grant,2022,3,3904582,15838,3920420
Grant,2022,4,3443890,74148,3518038
Grant,2023,1,3105188,23218,3128406
Grant,2023,2,5378976,17418,5396394
Grant,2023,3,4345559,21736,4367295
Grant,2023,4,3835099,46113,3881212
Grant,2024,1,2816841,17774,2834615
Grant,2024,2,5257507,14689,5272196
Grant,2024,3,4564752,35380,4600132
Grant,2024,4,4316582,77575,4394157
Grant,2025,1,3389952,20208,3410160
Grant,2025,2,4122256,20940,4143196
Grant,2025,3,3295708,18368,3314076
Grant,2025,4,4336139,35861,4372000
Grant,2026,1,2914751,17051,2931802
Grant,2026,2,4008235,7370,4015605
Griggs,2019,1,2498056,72826,2570882
Griggs,2019,2,3667937,138318,3806255
Griggs,2019,3,3483158,300040,3783198
Griggs,2019,4,3650963,206912,3857875
Griggs,2020,1,2648602,135210,2783812
Griggs,2020,2,3543564,147412,3690976
Griggs,2020,3,3425105,324467,3749572
Griggs,2020,4,4181615,156397,4338012
Griggs,2021,1,2730674,81015,2811689
Griggs,2021,2,3880875,108089,3988964
Griggs,2021,3,3824482,214717,4039199
Griggs,2021,4,3970255,348580,4318835
Griggs,2022,1,3102725,136393,3239118
Griggs,2022,2,4787280,166338,4953618
Griggs,2022,3,5059943,591872,5651815
Griggs,2022,4,4544027,242442,4786469
Griggs,2023,1,3409835,129701,3539536
Griggs,2023,2,6064086,564717,6628803
Griggs,2023,3,4844167,298444,5142611
Griggs,2023,4,4731246,338106,5069352
Griggs,2024,1,3423695,119434,3543129
Griggs,2024,2,5204467,206685,5411152
Griggs,2024,3,5647282,385312,6032594
Griggs,2024,4,4106784,1080055,5186839
Griggs,2025,1,2946858,146548,3093406
Griggs,2025,2,4521241,230624,4751865
Griggs,2025,3,4924763,333670,5258433
Griggs,2025,4,5368941,379794,5748735
Griggs,2026,1,3211989,116864,3328853
Griggs,2026,2,4781676,153518,4935194
Hettinger,2019,1,1520350,104271,1624621
Hettinger,2019,2,2187469,226266,2413735
Hettinger,2019,3,2593394,271604,2864998
Hettinger,2019,4,2200903,249683,2450586
Hettinger,2020,1,1994105,143193,2137298
Hettinger,2020,2,2617255,190927,2808182
Hettinger,2020,3,2959582,192730,3152312
Hettinger,2020,4,2415520,49372,2464892
Hettinger,2021,1,2450113,67087,2517200
Hettinger,2021,2,2544163,90787,2634950
Hettinger,2021,3,3543336,54238,3597574
Hettinger,2021,4,2936054,613290,3549344
Hettinger,2022,1,2992500,27703,3020203
Hettinger,2022,2,2958747,57298,3016045
Hettinger,2022,3,3064622,94178,3158800
Hettinger,2022,4,2593576,97223,2690799
Hettinger,2023,1,3271019,20487,3291506
Hettinger,2023,2,3459467,73214,3532681
Hettinger,2023,3,3521964,54798,3576762
Hettinger,2023,4,3124654,428067,3552721
Hettinger,2024,1,2672674,28679,2701353
