airport,year,month,passengers
DIK,2024,7,2238
DIK,2024,8,2271
DIK,2024,9,2207
DIK,2024,10,2489
DIK,2024,11,1981
DIK,2024,12,2168
DIK,2025,1,2030
DIK,2025,2,1752
DIK,2025,3,1966
DIK,2025,4,1985
DIK,2025,5,2281
DIK,2025,6,2077
DIK,2025,7,2246
DIK,2025,8,2068
DIK,2025,9,2133
DIK,2025,10,2175
DIK,2025,11,1949
DIK,2025,12,2189
DIK,2026,1,1702
DIK,2026,2,1745
DIK,2026,3,1902
DIK,2026,4,1804
DIK,2026,5,1921
DIK,2026,6,1990
FAR,2019,1,37817
FAR,2019,2,38357
FAR,2019,3,43405
FAR,2019,4,35779
FAR,2019,5,38131
FAR,2019,6,40285
FAR,2019,7,44148
FAR,2019,8,39327
FAR,2019,9,34779
FAR,2019,10,40700
FAR,2019,11,39192
FAR,2019,12,45725
FAR,2020,1,44604
FAR,2020,2,45289
FAR,2020,3,25741
FAR,2020,4,1566
FAR,2020,5,5123
FAR,2020,6,9076
FAR,2020,7,16196
FAR,2020,8,18801
FAR,2020,9,16473
FAR,2020,10,20145
FAR,2020,11,18106
FAR,2020,12,20556
FAR,2021,1,18598
FAR,2021,2,24053
FAR,2021,3,34026
FAR,2021,4,27674
FAR,2021,5,29644
FAR,2021,6,36555
FAR,2021,7,43095
FAR,2021,8,39472
FAR,2021,9,34072
FAR,2021,10,39430
FAR,2021,11,38447
FAR,2021,12,40540
FAR,2022,1,35242
FAR,2022,2,37199
FAR,2022,3,44118
FAR,2022,4,33948
FAR,2022,5,35885
FAR,2022,6,36761
FAR,2022,7,39768
FAR,2022,8,38973
FAR,2022,9,36043
FAR,2022,10,40552
FAR,2022,11,38767
FAR,2022,12,44509
FAR,2023,1,44414
FAR,2023,2,42515
FAR,2023,3,48391
FAR,2023,4,40049
FAR,2023,5,41365
FAR,2023,6,40196
FAR,2023,7,44813
FAR,2023,8,43921
FAR,2023,9,41796
FAR,2023,10,43955
FAR,2023,11,42936
FAR,2023,12,46181
FAR,2024,1,42978
FAR,2024,2,44126
FAR,2024,3,45095
FAR,2024,4,41694
FAR,2024,5,45001
FAR,2024,6,45428
FAR,2024,7,48574
FAR,2024,8,48944
FAR,2024,9,45053
FAR,2024,10,49113
FAR,2024,11,45664
FAR,2024,12,50672
FAR,2025,1,48737
FAR,2025,2,48406
FAR,2025,3,56958
FAR,2025,4,47822
FAR,2025,5,48361
FAR,2025,6,48211
FAR,2025,7,54242
FAR,2025,8,51253
FAR,2025,9,47525
FAR,2025,10,51705
FAR,2025,11,43698
FAR,2025,12,50378
FAR,2026,1,49484
FAR,2026,2,50654
FAR,2026,3,55636
FAR,2026,4,50200
FAR,2026,5,51452
FAR,2026,6,51172
MOT,2019,1,11775
MOT,2019,2,12744
MOT,2019,3,14841
MOT,2019,4,12710
MOT,2019,5,13025
MOT,2019,6,13530
MOT,2019,7,15574
MOT,2019,8,14233
MOT,2019,9,12218
MOT,2019,10,14255
MOT,2019,11,13527
MOT,2019,12,15522
MOT,2020,1,12778
MOT,2020,2,13265
MOT,2020,3,8285
MOT,2020,4,818
MOT,2020,5,2031
MOT,2020,6,3904
MOT,2020,7,6507
MOT,2020,8,7587
MOT,2020,9,6848
MOT,2020,10,7867
MOT,2020,11,7069
MOT,2020,12,8073
MOT,2021,1,5947
MOT,2021,2,6818
MOT,2021,3,9825
MOT,2021,4,9192
MOT,2021,5,11080
MOT,2021,6,12096
MOT,2021,7,13204
MOT,2021,8,11185
MOT,2021,9,10081
MOT,2021,10,11990
MOT,2021,11,11828
MOT,2021,12,13107
MOT,2022,1,9582
MOT,2022,2,11381
MOT,2022,3,12971
MOT,2022,4,10075
MOT,2022,5,12516
MOT,2022,6,11192
MOT,2022,7,11500
MOT,2022,8,11471
MOT,2022,9,12565
MOT,2022,10,13057
MOT,2022,11,11260
MOT,2022,12,11620
MOT,2023,1,11252
MOT,2023,2,10344
MOT,2023,3,13262
MOT,2023,4,11726
MOT,2023,5,12025
MOT,2023,6,11567
MOT,2023,7,11823
MOT,2023,8,11852
MOT,2023,9,11191
MOT,2023,10,13005
MOT,2023,11,13310
MOT,2023,12,15212
MOT,2024,1,12441
MOT,2024,2,12950
MOT,2024,3,14468
MOT,2024,4,13167
MOT,2024,5,13432
MOT,2024,6,14197
MOT,2024,7,16394
MOT,2024,8,14435
MOT,2024,9,12572
MOT,2024,10,14675
MOT,2024,11,14275
MOT,2024,12,16455
MOT,2025,1,14028
MOT,2025,2,13885
MOT,2025,3,16670
MOT,2025,4,14247
MOT,2025,5,15114
MOT,2025,6,15469
MOT,2025,7,16976
MOT,2025,8,15428
MOT,2025,9,13970
MOT,2025,10,14682
MOT,2025,11,13634
MOT,2025,12,15162
MOT,2026,1,13080
MOT,2026,2,12544
MOT,2026,3,13117
MOT,2026,4,12078
MOT,2026,5,13782
MOT,2026,6,14044
RAP,2019,1,19149
RAP,2019,2,17495
RAP,2019,3,19955
RAP,2019,4,20811
RAP,2019,5,28032
RAP,2019,6,37526
RAP,2019,7,42703
RAP,2019,8,40892
RAP,2019,9,37060
RAP,2019,10,30288
RAP,2019,11,21670
RAP,2019,12,26940
RAP,2020,1,21343
RAP,2020,2,19768
RAP,2020,3,11304
RAP,2020,4,1250
RAP,2020,5,5618
RAP,2020,6,10444
RAP,2020,7,19189
RAP,2020,8,21994
RAP,2020,9,19611
RAP,2020,10,19693
RAP,2020,11,13934
RAP,2020,12,13434
RAP,2021,1,11324
RAP,2021,2,11638
RAP,2021,3,16731
RAP,2021,4,17070
RAP,2021,5,27707
RAP,2021,6,41041
RAP,2021,7,49216
RAP,2021,8,45919
RAP,2021,9,38562
RAP,2021,10,30900
RAP,2021,11,23631
RAP,2021,12,23911
RAP,2022,1,15733
RAP,2022,2,16950
RAP,2022,3,18543
RAP,2022,4,20148
RAP,2022,5,23795
RAP,2022,6,37689
RAP,2022,7,41294
RAP,2022,8,39619
RAP,2022,9,39055
RAP,2022,10,33042
RAP,2022,11,22787
RAP,2022,12,22378
RAP,2023,1,20697
RAP,2023,2,17457
RAP,2023,3,19815
RAP,2023,4,19803
RAP,2023,5,28271
RAP,2023,6,37443
RAP,2023,7,41533
RAP,2023,8,40567
RAP,2023,9,37040
RAP,2023,10,32943
RAP,2023,11,24733
RAP,2023,12,25095
RAP,2024,1,22741
RAP,2024,2,20421
RAP,2024,3,25617
RAP,2024,4,26606
RAP,2024,5,32750
RAP,2024,6,43727
RAP,2024,7,48773
RAP,2024,8,48644
RAP,2024,9,44510
RAP,2024,10,40903
RAP,2024,11,31312
RAP,2024,12,32119
RAP,2025,1,25666
RAP,2025,2,22176
RAP,2025,3,27497
RAP,2025,4,28991
RAP,2025,5,39058
RAP,2025,6,48363
RAP,2025,7,54117
RAP,2025,8,50916
RAP,2025,9,45990
RAP,2025,10,41287
RAP,2025,11,29068
RAP,2025,12,29977
RAP,2026,1,24666
RAP,2026,2,23359
RAP,2026,3,28332
RAP,2026,4,30850
RAP,2026,5,42409
RAP,2026,6,51122
