park,park_name,role,state,year,month,visits
BADL,Badlands NP,control,SD,2021,1,14899
BADL,Badlands NP,control,SD,2021,2,11350
BADL,Badlands NP,control,SD,2021,3,28182
BADL,Badlands NP,control,SD,2021,4,42749
BADL,Badlands NP,control,SD,2021,5,109764
BADL,Badlands NP,control,SD,2021,6,256041
BADL,Badlands NP,control,SD,2021,7,288004
BADL,Badlands NP,control,SD,2021,8,236282
BADL,Badlands NP,control,SD,2021,9,138477
BADL,Badlands NP,control,SD,2021,10,66941
BADL,Badlands NP,control,SD,2021,11,23432
BADL,Badlands NP,control,SD,2021,12,8105
BADL,Badlands NP,control,SD,2022,1,12671
BADL,Badlands NP,control,SD,2022,2,12866
BADL,Badlands NP,control,SD,2022,3,25276
BADL,Badlands NP,control,SD,2022,4,34943
BADL,Badlands NP,control,SD,2022,5,98542
BADL,Badlands NP,control,SD,2022,6,204969
BADL,Badlands NP,control,SD,2022,7,224054
BADL,Badlands NP,control,SD,2022,8,184816
BADL,Badlands NP,control,SD,2022,9,121571
BADL,Badlands NP,control,SD,2022,10,61115
BADL,Badlands NP,control,SD,2022,11,19720
BADL,Badlands NP,control,SD,2022,12,6266
BADL,Badlands NP,control,SD,2023,1,10925
BADL,Badlands NP,control,SD,2023,2,11426
BADL,Badlands NP,control,SD,2023,3,22390
BADL,Badlands NP,control,SD,2023,4,30572
BADL,Badlands NP,control,SD,2023,5,99117
BADL,Badlands NP,control,SD,2023,6,198393
BADL,Badlands NP,control,SD,2023,7,248304
BADL,Badlands NP,control,SD,2023,8,202433
BADL,Badlands NP,control,SD,2023,9,142610
BADL,Badlands NP,control,SD,2023,10,53066
BADL,Badlands NP,control,SD,2023,11,16467
BADL,Badlands NP,control,SD,2023,12,10697
BADL,Badlands NP,control,SD,2024,1,8549
BADL,Badlands NP,control,SD,2024,2,10397
BADL,Badlands NP,control,SD,2024,3,25776
BADL,Badlands NP,control,SD,2024,4,37328
BADL,Badlands NP,control,SD,2024,5,109385
BADL,Badlands NP,control,SD,2024,6,218729
BADL,Badlands NP,control,SD,2024,7,234886
BADL,Badlands NP,control,SD,2024,8,199919
BADL,Badlands NP,control,SD,2024,9,139875
BADL,Badlands NP,control,SD,2024,10,71915
BADL,Badlands NP,control,SD,2024,11,22887
BADL,Badlands NP,control,SD,2024,12,14599
BADL,Badlands NP,control,SD,2025,1,9962
BADL,Badlands NP,control,SD,2025,2,10111
BADL,Badlands NP,control,SD,2025,3,26683
BADL,Badlands NP,control,SD,2025,4,46381
BADL,Badlands NP,control,SD,2025,5,125814
BADL,Badlands NP,control,SD,2025,6,221824
BADL,Badlands NP,control,SD,2025,7,232859
BADL,Badlands NP,control,SD,2025,8,214978
BADL,Badlands NP,control,SD,2025,9,143478
BADL,Badlands NP,control,SD,2025,10,75430
BADL,Badlands NP,control,SD,2025,11,18790
BADL,Badlands NP,control,SD,2025,12,13051
BADL,Badlands NP,control,SD,2026,1,12127
BADL,Badlands NP,control,SD,2026,2,13961
BADL,Badlands NP,control,SD,2026,3,29855
BADL,Badlands NP,control,SD,2026,4,40047
BADL,Badlands NP,control,SD,2026,5,111917
BADL,Badlands NP,control,SD,2026,6,210410
BADL,Badlands NP,control,SD,2026,7,225690
BADL,Badlands NP,control,SD,2026,8,199817
DETO,Devils Tower NM,control,WY,1979,1,1366
DETO,Devils Tower NM,control,WY,1979,2,2373
DETO,Devils Tower NM,control,WY,1979,3,4490
DETO,Devils Tower NM,control,WY,1979,4,11710
DETO,Devils Tower NM,control,WY,1979,5,18244
DETO,Devils Tower NM,control,WY,1979,6,35281
