park,year,category,sector,value
BADL,2018,Jobs,Lodging,222.0
BADL,2018,Jobs,Recreation Industries,94.0
BADL,2018,Jobs,Restaurants,222.0
BADL,2018,Jobs,Retail,64.0
BADL,2018,Jobs,Secondary Effects,230.0
BADL,2018,Jobs,Transportation,30.0
BADL,2018,Labor Income,Camping,902892.0
BADL,2018,Labor Income,Gas,606086.0
BADL,2018,Labor Income,Groceries,522542.0
BADL,2018,Labor Income,Lodging,5935928.0
BADL,2018,Labor Income,Recreation Industries,1574997.0
BADL,2018,Labor Income,Restaurants,4350279.0
BADL,2018,Labor Income,Retail,1944218.0
BADL,2018,Labor Income,Secondary Effects,9222286.0
BADL,2018,Labor Income,Transportation,895060.0
BADL,2018,Non-local Visitor Spending,Camping,1313749.0
BADL,2018,Non-local Visitor Spending,Gas,9242540.0
BADL,2018,Non-local Visitor Spending,Groceries,4358082.0
BADL,2018,Non-local Visitor Spending,Lodging,22899098.0
BADL,2018,Non-local Visitor Spending,Recreation Industries,4814406.0
BADL,2018,Non-local Visitor Spending,Restaurants,12824232.0
BADL,2018,Non-local Visitor Spending,Retail,6201427.0
BADL,2018,Non-local Visitor Spending,Secondary Effects,0.0
BADL,2018,Non-local Visitor Spending,Transportation,3340923.0
BADL,2018,Party Days/Nights,Total,475397.0
BADL,2018,Value Added,Camping,966979.0
BADL,2018,Value Added,Gas,802590.0
BADL,2018,Value Added,Groceries,758644.0
BADL,2018,Value Added,Lodging,13823605.0
BADL,2018,Value Added,Recreation Industries,2273397.0
BADL,2018,Value Added,Restaurants,6674431.0
BADL,2018,Value Added,Retail,1844114.0
BADL,2018,Value Added,Secondary Effects,15966998.0
BADL,2018,Value Added,Transportation,1727376.0
BADL,2018,Visitor Spending,Camping,1313749.0
BADL,2018,Visitor Spending,Gas,9488466.0
BADL,2018,Visitor Spending,Groceries,4513539.0
BADL,2018,Visitor Spending,Lodging,22899098.0
BADL,2018,Visitor Spending,Recreation Industries,4946019.0
BADL,2018,Visitor Spending,Restaurants,12989507.0
BADL,2018,Visitor Spending,Retail,6326728.0
BADL,2018,Visitor Spending,Secondary Effects,0.0
BADL,2018,Visitor Spending,Transportation,3362897.0
BADL,2018,Visits,Total,1008942.0
BADL,2019,Economic Output,Camping,1300185.0
BADL,2019,Economic Output,Gas,1501676.0
BADL,2019,Economic Output,Groceries,1216853.0
BADL,2019,Economic Output,Lodging,22029296.0
BADL,2019,Economic Output,Recreation Industries,4786273.0
BADL,2019,Economic Output,Restaurants,12536886.0
BADL,2019,Economic Output,Retail,3090360.0
BADL,2019,Economic Output,Secondary Effects,29943883.0
BADL,2019,Economic Output,Transportation,3237113.0
BADL,2019,Jobs,Camping,21.0
BADL,2019,Jobs,Gas,20.0
BADL,2019,Jobs,Groceries,19.0
BADL,2019,Jobs,Lodging,213.0
BADL,2019,Jobs,Recreation Industries,91.0
BADL,2019,Jobs,Restaurants,214.0
BADL,2019,Jobs,Retail,62.0
BADL,2019,Jobs,Secondary Effects,221.0
BADL,2019,Jobs,Transportation,29.0
BADL,2019,Labor Income,Camping,893625.0
BADL,2019,Labor Income,Gas,588140.0
BADL,2019,Labor Income,Groceries,508155.0
BADL,2019,Labor Income,Lodging,5710810.0
BADL,2019,Labor Income,Recreation Industries,1523068.0
BADL,2019,Labor Income,Restaurants,4197445.0
BADL,2019,Labor Income,Retail,1883549.0
BADL,2019,Labor Income,Secondary Effects,8905258.0
BADL,2019,Labor Income,Transportation,865123.0
BADL,2019,Non-local Visitor Spending,Camping,1300185.0
BADL,2019,Non-local Visitor Spending,Gas,8919903.0
BADL,2019,Non-local Visitor Spending,Groceries,4212000.0
BADL,2019,Non-local Visitor Spending,Lodging,22029295.0
BADL,2019,Non-local Visitor Spending,Recreation Industries,4658754.0
BADL,2019,Non-local Visitor Spending,Restaurants,12377096.0
BADL,2019,Non-local Visitor Spending,Retail,5974813.0
BADL,2019,Non-local Visitor Spending,Secondary Effects,0.0
BADL,2019,Non-local Visitor Spending,Transportation,3215774.0
BADL,2019,Party Days/Nights,Total,457605.0
BADL,2019,Value Added,Camping,957055.0
BADL,2019,Value Added,Gas,778826.0
BADL,2019,Value Added,Groceries,737757.0
BADL,2019,Value Added,Lodging,13299350.0
BADL,2019,Value Added,Recreation Industries,2198441.0
BADL,2019,Value Added,Restaurants,6439945.0
BADL,2019,Value Added,Retail,1786568.0
BADL,2019,Value Added,Secondary Effects,15419818.0
BADL,2019,Value Added,Transportation,1670473.0
BADL,2019,Visitor Spending,Camping,1300185.0
BADL,2019,Visitor Spending,Gas,9156563.0
BADL,2019,Visitor Spending,Groceries,4361481.0
BADL,2019,Visitor Spending,Lodging,22029295.0
BADL,2019,Visitor Spending,Recreation Industries,4786273.0
BADL,2019,Visitor Spending,Restaurants,12536886.0
BADL,2019,Visitor Spending,Retail,6095384.0
BADL,2019,Visitor Spending,Secondary Effects,0.0
BADL,2019,Visitor Spending,Transportation,3237064.0
BADL,2019,Visits,Total,970998.0
BADL,2020,Economic Output,Camping,1227430.0
BADL,2020,Economic Output,Gas,1423444.0
BADL,2020,Economic Output,Groceries,1151200.0
BADL,2020,Economic Output,Lodging,21070532.0
BADL,2020,Economic Output,Recreation Industries,4570919.0
BADL,2020,Economic Output,Restaurants,11979838.0
BADL,2020,Economic Output,Retail,2930721.0
BADL,2020,Economic Output,Secondary Effects,28595965.0
BADL,2020,Economic Output,Transportation,3076259.0
BADL,2020,Jobs,Camping,20.0
BADL,2020,Jobs,Gas,19.0
BADL,2020,Jobs,Groceries,18.0
BADL,2020,Jobs,Lodging,204.0
BADL,2020,Jobs,Recreation Industries,87.0
BADL,2020,Jobs,Restaurants,204.0
BADL,2020,Jobs,Retail,58.0
BADL,2020,Jobs,Secondary Effects,209.0
BADL,2020,Jobs,Transportation,28.0
BADL,2020,Labor Income,Camping,843672.0
BADL,2020,Labor Income,Gas,560602.0
BADL,2020,Labor Income,Groceries,483802.0
BADL,2020,Labor Income,Lodging,5462601.0
BADL,2020,Labor Income,Recreation Industries,1453527.0
BADL,2020,Labor Income,Restaurants,4009749.0
BADL,2020,Labor Income,Retail,1796190.0
BADL,2020,Labor Income,Secondary Effects,8504586.0
BADL,2020,Labor Income,Transportation,825514.0
BADL,2020,Non-local Visitor Spending,Camping,1227430.0
BADL,2020,Non-local Visitor Spending,Gas,8454963.0
BADL,2020,Non-local Visitor Spending,Groceries,3984298.0
BADL,2020,Non-local Visitor Spending,Lodging,21070531.0
BADL,2020,Non-local Visitor Spending,Recreation Industries,4449197.0
BADL,2020,Non-local Visitor Spending,Restaurants,11827155.0
BADL,2020,Non-local Visitor Spending,Retail,5666002.0
BADL,2020,Non-local Visitor Spending,Secondary Effects,0.0
BADL,2020,Non-local Visitor Spending,Transportation,3055796.0
BADL,2020,Party Days/Nights,Total,432081.0
BADL,2020,Value Added,Camping,903556.0
BADL,2020,Value Added,Gas,742359.0
BADL,2020,Value Added,Groceries,702400.0
BADL,2020,Value Added,Lodging,12721320.0
BADL,2020,Value Added,Recreation Industries,2098063.0
BADL,2020,Value Added,Restaurants,6151972.0
BADL,2020,Value Added,Retail,1703707.0
BADL,2020,Value Added,Secondary Effects,14725470.0
BADL,2020,Value Added,Transportation,1594825.0
BADL,2020,Visitor Spending,Camping,1227430.0
BADL,2020,Visitor Spending,Gas,8679535.0
BADL,2020,Visitor Spending,Groceries,4126166.0
BADL,2020,Visitor Spending,Lodging,21070531.0
BADL,2020,Visitor Spending,Recreation Industries,4570919.0
BADL,2020,Visitor Spending,Restaurants,11979838.0
BADL,2020,Visitor Spending,Retail,5780514.0
BADL,2020,Visitor Spending,Secondary Effects,0.0
BADL,2020,Visitor Spending,Transportation,3076154.0
BADL,2020,Visits,Total,916932.0
BADL,2021,Economic Output,Camping,1716926.0
BADL,2021,Economic Output,Gas,3322849.0
BADL,2021,Economic Output,Groceries,1947654.0
BADL,2021,Economic Output,Lodging,29931945.0
BADL,2021,Economic Output,Recreation Industries,6277658.0
BADL,2021,Economic Output,Restaurants,17310952.0
BADL,2021,Economic Output,Retail,4329034.0
BADL,2021,Economic Output,Secondary Effects,44974979.0
BADL,2021,Economic Output,Transportation,4272524.0
BADL,2021,Jobs,Camping,24.0
BADL,2021,Jobs,Gas,32.0
BADL,2021,Jobs,Groceries,26.0
BADL,2021,Jobs,Lodging,287.0
BADL,2021,Jobs,Recreation Industries,125.0
BADL,2021,Jobs,Restaurants,261.0
BADL,2021,Jobs,Retail,78.0
BADL,2021,Jobs,Secondary Effects,300.0
BADL,2021,Jobs,Transportation,61.0
BADL,2021,Labor Income,Camping,805362.0
BADL,2021,Labor Income,Gas,985419.0
BADL,2021,Labor Income,Groceries,742119.0
BADL,2021,Labor Income,Lodging,8333742.0
BADL,2021,Labor Income,Recreation Industries,2409930.0
BADL,2021,Labor Income,Restaurants,5394889.0
BADL,2021,Labor Income,Retail,2335653.0
BADL,2021,Labor Income,Secondary Effects,12612253.0
BADL,2021,Labor Income,Transportation,1162758.0
BADL,2021,Non-local Visitor Spending,Camping,1716926.0
BADL,2021,Non-local Visitor Spending,Gas,14734901.0
BADL,2021,Non-local Visitor Spending,Groceries,5662935.0
BADL,2021,Non-local Visitor Spending,Lodging,29931945.0
BADL,2021,Non-local Visitor Spending,Recreation Industries,6110446.0
BADL,2021,Non-local Visitor Spending,Restaurants,17090371.0
BADL,2021,Non-local Visitor Spending,Retail,7630504.0
BADL,2021,Non-local Visitor Spending,Secondary Effects,0.0
BADL,2021,Non-local Visitor Spending,Transportation,4244072.0
BADL,2021,Party Days/Nights,Total,576813.0
BADL,2021,Value Added,Camping,1238560.0
BADL,2021,Value Added,Gas,1758496.0
BADL,2021,Value Added,Groceries,1086920.0
BADL,2021,Value Added,Lodging,18625721.0
BADL,2021,Value Added,Recreation Industries,2975748.0
BADL,2021,Value Added,Restaurants,8319938.0
BADL,2021,Value Added,Retail,2757792.0
BADL,2021,Value Added,Secondary Effects,22128112.0
BADL,2021,Value Added,Transportation,2116807.0
BADL,2021,Visitor Spending,Camping,1716926.0
BADL,2021,Visitor Spending,Gas,15127239.0
BADL,2021,Visitor Spending,Groceries,5865350.0
BADL,2021,Visitor Spending,Lodging,29931945.0
BADL,2021,Visitor Spending,Recreation Industries,6277658.0
BADL,2021,Visitor Spending,Restaurants,17310952.0
BADL,2021,Visitor Spending,Retail,7784940.0
BADL,2021,Visitor Spending,Secondary Effects,0.0
BADL,2021,Visitor Spending,Transportation,4272175.0
BADL,2021,Visits,Total,1224226.0
BADL,2022,Economic Output,Camping,1430651.0
BADL,2022,Economic Output,Gas,2762341.0
BADL,2022,Economic Output,Groceries,1618823.0
BADL,2022,Economic Output,Lodging,25015146.0
BADL,2022,Economic Output,Recreation Industries,5246542.0
BADL,2022,Economic Output,Restaurants,14565489.0
BADL,2022,Economic Output,Retail,3602847.0
BADL,2022,Economic Output,Secondary Effects,37532927.0
BADL,2022,Economic Output,Transportation,3559260.0
BADL,2022,Jobs,Camping,20.0
BADL,2022,Jobs,Gas,26.0
BADL,2022,Jobs,Groceries,22.0
BADL,2022,Jobs,Lodging,240.0
BADL,2022,Jobs,Recreation Industries,104.0
BADL,2022,Jobs,Restaurants,218.0
BADL,2022,Jobs,Retail,64.0
BADL,2022,Jobs,Secondary Effects,247.0
BADL,2022,Jobs,Transportation,50.0
BADL,2022,Labor Income,Camping,670705.0
BADL,2022,Labor Income,Gas,820613.0
BADL,2022,Labor Income,Groceries,618516.0
BADL,2022,Labor Income,Lodging,6960915.0
BADL,2022,Labor Income,Recreation Industries,2009950.0
BADL,2022,Labor Income,Restaurants,4502746.0
BADL,2022,Labor Income,Retail,1947215.0
BADL,2022,Labor Income,Secondary Effects,10525817.0
BADL,2022,Labor Income,Transportation,968083.0
BADL,2022,Non-local Visitor Spending,Camping,1430651.0
BADL,2022,Non-local Visitor Spending,Gas,12249573.0
BADL,2022,Non-local Visitor Spending,Groceries,4707230.0
BADL,2022,Non-local Visitor Spending,Lodging,25015146.0
BADL,2022,Non-local Visitor Spending,Recreation Industries,5107136.0
BADL,2022,Non-local Visitor Spending,Restaurants,14380625.0
BADL,2022,Non-local Visitor Spending,Retail,6350815.0
BADL,2022,Non-local Visitor Spending,Secondary Effects,0.0
BADL,2022,Non-local Visitor Spending,Transportation,3535292.0
BADL,2022,Party Days/Nights,Total,474417.0
BADL,2022,Value Added,Camping,1031471.0
BADL,2022,Value Added,Gas,1464389.0
BADL,2022,Value Added,Groceries,905887.0
BADL,2022,Value Added,Lodging,15557495.0
BADL,2022,Value Added,Recreation Industries,2481856.0
BADL,2022,Value Added,Restaurants,6944082.0
BADL,2022,Value Added,Retail,2299143.0
BADL,2022,Value Added,Secondary Effects,18466787.0
BADL,2022,Value Added,Transportation,1765135.0
BADL,2022,Visitor Spending,Camping,1430651.0
BADL,2022,Visitor Spending,Gas,12575475.0
BADL,2022,Visitor Spending,Groceries,4875076.0
BADL,2022,Visitor Spending,Lodging,25015146.0
BADL,2022,Visitor Spending,Recreation Industries,5246542.0
BADL,2022,Visitor Spending,Restaurants,14565489.0
BADL,2022,Visitor Spending,Retail,6479032.0
BADL,2022,Visitor Spending,Secondary Effects,0.0
BADL,2022,Visitor Spending,Transportation,3558604.0
BADL,2022,Visits,Total,1006809.0
